retailer_product_id,barcode,product_name,original_retailer_name,current_price,pack_size,normalized_price,store_id,can_normalize
2623,7290000205915,אקסטרה קר חיתולים מידה 4 8- 36 חיתולים (₪1.58 ליחידה),האגיס אקסטרה קר מידה 4          36 יח,1.58,36.0,56.88,52001,True
2633,5901691853829,מוצצי סיליקון מהדורת הרמוניה 3-6 אפור זוג (₪29.95 ליחידה),לאבי זוג מוצצי סיליקון הרמוניה 3-6 אפור,29.95,2.0,59.9,52001,True
2638,7290108353419,שיניים עם סיבי הלבנה ספירליים לשיניים לבנות יותר סופט אריזת ,אורביטול זוג מברשות שיניים להלבנה,10.45,2.0,20.9,52001,True
2777,8710103990369,נטורל ריספונס +שסתום AirFree להפחתת קוליק גזים וריפלוקס זוג ,אוונט בקבוק נטורל ריספונס איירוונט 125מל,55.45,2.0,110.9,52001,True
2806,3600521720219,L'OREAL PARIS TRIPLE ACTIVE קרם לילה עם הפעולה המשולשת לכל ס,לוריאל פעולה משולשת לילה,106.0,3.0,318.0,52001,True
2816,8710103985143,נטורל ריספונס +3M שלב 4 זוג (₪25.45 ליחידה),אוונט נטורל ריספונס זוג פטמות +3M שלב 4,25.45,2.0,50.9,52001,True
2866,8718951093331,שיניים רכות במיוחד לחניכיים רגישות (₪20.45 ליחידה),מרידול מברשת שיניים אקסטרה סופט זוג,20.45,2.0,40.9,52001,True
2965,7290118208945,Dental חוט דנטלי דמוי סאטן בטעם מנטה עם שעווה 50 מטר (₪0.40 ,לייף חוט דנטלי דמוי סאטן מנטה עם שעווה50,0.4,50.0,20.0,52001,True
2995,0651080161510,חוט דנטלי עם ידית לשיניים צפופות מנטה (₪0.45 ליחידה),פלקרס פולסר לשיניים צפופות-מנטה 35 יחידו,0.45,35.0,15.75,52001,True
2997,7290108450040,בייביז חטיף אורז אפוי בטעם ירקות לתינוקות 6+ חודשים - זוג חט,לייף בייביז חטיף אורז אפוי בטעם ירקות,31.8,2.0,63.6,52001,True
2998,5713795216550,מוצץ סיליקון ONE SIZE DE LUX זוג (₪39.95 ליחידה),BIBS מוצץ סיליקון DE LUX אפור כחול,39.95,2.0,79.9,52001,True
